EmpID, ProjectID, DateFrom, DateTo
143, 10, 2013-11-01, 2014-01-05
218, 18, 2010-05-16, NULL
359, 12, 2009-01-01, 2011-04-27
534, 12, 2015-11-01, 2017-01-05
759, 18, 2018-05-16, NULL
359, 10, 2007-01-01, 2011-04-27
143, 18, 2013-11-01, 2014-01-05
218, 12, 2012-05-16, NULL
143, 22, 2015-01-01, NULL
359, 22, 2016-11-01, 2018-01-05
218, 10, 2011-05-16, NULL
759, 22, 2019-01-01, NULL
143, 18, 2014-11-01, 2014-01-05
218, 22, 2012-05-16, NULL
534, 10, 2008-01-01, 2011-04-27
759, 22, 2002-11-01, 2014-01-05
218, 12, 2005-05-16, NULL
534, 12, 2003-01-01, 2011-04-27




